Station;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

04.10.2020;11;15;29;52
05.10.2020;15;48;42;115
06.10.2020;12;46;36;107
07.10.2020;12;47;39;112
08.10.2020;16;41;34;96
09.10.2020;11;50;41;118
10.10.2020;15;34;39;91
11.10.2020;13;20;30;60
12.10.2020;18;53;49;130
13.10.2020;20;43;33;99
14.10.2020;7;4;16;21
15.10.2020;8;4;16;22
16.10.2020;10;6;20;28
17.10.2020;15;16;25;49
18.10.2020;17;19;25;53
19.10.2020;20;68;53;156
20.10.2020;29;48;40;114
21.10.2020;28;53;42;123
